Galaxy         RA          DEC          z        B_T   Morphology          mB     mBunc d25     d25b/a PA   u      uunc   dist   d_unc  emily LVL
               J2000       J2000                 mag   NED                 mag    mag   arcsecs        deg  mag    mag    Mpc    Mpc    boo   boo
NGC0024        00h09m56.5s -24d57m47s   0.001848 12.38 SA(s)c              12.03  0.15  345.30  0.23   46.0 28.79  1.720  6.890  2.850  0     1     
NGC0059        00h15m25.1s -21d26m40s   0.001207 13.12 SA0^-(rs)?          13.08  0.21  157.80  0.50   127. 28.41  0.2900 4.850  0.6400 1     1     
NGC0625        01h35m04.6s -41d26m10s   0.001321 11.50 SB(s)m?/edge-on     11.76  0.17  345.30  0.33   92.0 27.88  0.3600 3.810  0.5600 0     1     
UGC05829       10h42m41.9s +34d26m56s   0.002098 13.73 Im                  14.00  0.90  280.60  0.89   NaN  29.51  NaN    8.000  NaN    0     1     
NGC3344        10h43m31.2s +24d55m20s   0.001935 10.45 (R)SAB(r)bc         10.82  0.17  424.80  0.91   150  28.92  NaN    6.100  NaN    0     1     
NGC3486        11h00m23.9s +28d58m30s   0.002272 11.05 SAB(r)c             10.80  0.17  424.80  0.74   80.0 30.36  0.7000 12.23  3.470  1     1     
UGC06112       11h02m35.3s +16d44m05s   0.003446 13.90 Sd?                 13.90  0.20  150.70  0.32   123. 31.56  NaN    20.50  NaN    0     0     
NGC3501        11h02m47.3s +17d59m22s   0.003769 13.50 Scd                 13.57  0.18  233.40  0.13   27.0 20.03  0.041  23.75  1.939  0     0       
NGC3507        11h03m25.4s +18d08m08s   0.003266 11.73 SB(s)b              NaN    NaN   203.30  0.85   110. 30.92  0.7900 15.80  5.660  0     0     
UGC06161       11h06m49.2s +43d43m24s   0.002522 14.00 SBdm                14.00  0.30  154.20  0.48   40.0 30.44  NaN    12.30  NaN    0     0     
UGC06399       11h23m23.2s +50d53m34s   0.002640 14.30 Sm?                 14.50  0.30  165.30  0.28   142. 31.34  0.2900 18.70  2.540  0     0     
NGC3675        11h26m08.6s +43d35m09s   0.002568 11.00 SA(s)b              10.83  0.15  353.30  0.53   178. 31.15  0.3200 17.20  2.470  0     0     
NGC3718        11h32m34.9s +53d04m05s   0.003312 11.59 SB(s)a/pec          11.32  0.17  487.70  0.49   15.0 31.15  NaN    17.00  NaN    0     0     
NGC3726        11h33m21.1s +47d01m45s   0.002887 10.91 SAB(r)c             11.01  0.16  370.00  0.69   10.0 31.18  0.3400 17.40  2.760  0     0     
NGC3729        11h33m49.3s +53d07m32s   0.003536 12.03 SB(r)a/pec          12.33  0.14  169.10  0.68   15.0 31.52  0.1900 20.18  1.620  0     0     
NGC3769        11h37m44.1s +47d53m35s   0.002459 12.50 SB(r)b?             12.26  0.16  185.40  0.32   152. 30.95  0.1200 15.54  0.8700 0     0     
UGC06628       11h40m05.7s +45d56m32s   0.002805 13.18 SAm                 13.90  0.50  173.00  1.0    70   31.15  NaN    17.00  NaN    0     0     
NGC3893        11h48m38.2s +48d42m39s   0.003226 11.16 SAB(rs)c?           10.85  0.17  268.00  0.62   165. 31.29  0.1400 18.13  1.160  0     0     
UGC06792       11h49m23.3s +39d46m17s   0.002806 14.20 Scd?                14.56  0.19  165.30  0.15   172. 31.34  0.5300 18.90  4.530  0     0     
NGC3917        11h50m45.4s +51d49m29s   0.003218 12.51 SAcd?               12.39  0.15  307.70  0.24   77.0 31.14  0.1600 16.92  1.280  0     0     
NGC3922        11h51m13.4s +50d09m25s   0.003022 13.40 S0/a                13.76  0.18  104.30  0.44   38.0 31.15  NaN    17.00  NaN    0     0     
NGC3938        11h52m49.5s +44d07m15s   0.002699 10.90 SA(s)c              10.89  0.15  322.20  0.91   29   31.21  0.0800 17.45  0.6400 0     0     
NGC3941        11h52m55.4s +36d59m11s   0.003095 11.25 SB0^0(s)            11.29  0.13  208.00  0.66   10.0 30.90  0.6700 15.55  4.740  1     0     
NGC3949        11h53m41.7s +47d51m31s   0.002669 11.70 SA(s)bc?            11.53  0.19  173.00  0.57   120. 31.31  0.2700 18.41  2.230  0     0     
NGC3953        11h53m48.9s +52d19m36s   0.003510 10.84 SB(r).bc            10.82  0.15  415.10  0.50   13.0 31.32  0.1900 18.45  1.600  0     0     
UGC06900       11h55m39.7s +31d31m07s   0.001968 14.80 Im?                 14.40  0.50  125.40  0.62   115. 28.84  NaN    5.900  NaN    0     1     
NGC3972        11h55m45.1s +55d19m15s   0.002843 13.10 SA(s)bc             12.77  0.18  233.40  0.28   120. 31.34  0.1900 18.59  1.600  0     0     
UGC06917       11h56m26.5s +50d25m43s   0.003038 13.13 SBm                 13.50  0.30  212.90  0.57   130. 31.37  0.1700 18.87  1.500  0     0     
UGC06930       11h57m17.4s +49d16m59s   0.002592 12.65 SAB(s)d             13.50  0.50  261.90  0.63   47   31.15  NaN    17.00  NaN    0     0     
MESSIER109     11h57m36.0s +53d22m28s   0.003496 10.60 SB(rs)bc            10.54  0.15  455.10  0.62   68.0 31.90  0.6100 24.88  7.330  0     0     
NGC3998        11h57m56.1s +55d27m13s   0.003469 11.61 SA0^0(r)?           11.38  0.14  161.50  0.83   140. 31.21  0.6500 17.85  5.300  1     0     
UGC06955       11h58m29.8s +38d04m35s   0.003019 13.80 IB(s)m?             14.20  0.80  300.70  0.51   70.0 31.20  0.2300 17.40  1.840  0     0     
NGC4013        11h58m31.4s +43d56m48s   0.002773 12.10 Sb/edge-on          12.29  0.19  314.90  0.20   66.0 31.33  0.2800 18.60  2.460  0     0     
IC0749         11h58m34.0s +42d44m03s   0.002693 13.40 SAB(rs)cd           12.98  0.18  140.70  0.81   150. 31.15  NaN    17.00  NaN    0     0     
NGC4010        11h58m37.9s +47d15m41s   0.003008 13.20 SB(s)d?/edge-on     12.99  0.18  255.90  0.19   66.0 31.31  0.1900 18.35  1.640  0     0     
IC0750         11h58m52.2s +42d43m21s   0.002337 12.80 Sab?/edge-on        12.73  0.14  157.80  0.45   43.0 31.94  0.6300 25.26  7.530  0     0     
UGC06983       11h59m09.3s +52d42m27s   0.003609 13.12 SB(rs)cd            13.80  0.50  208.00  0.69   85.0 31.51  0.2600 20.20  2.290  0     0     
NGC4026        11h59m25.2s +50d57m42s   0.003102 11.67 S0/edge-on          11.61  0.12  314.90  0.24   178. 30.91  0.3400 15.30  2.400  0     0     
NGC4051        12h03m09.6s +44d31m53s   0.002336 10.83 SAB(rs)bc           11.31  0.20  314.90  0.74   135. 30.80  0.3300 14.58  2.210  0     0     
NGC4068        12h04m00.8s +52d35m18s   0.000700 13.00 IAm                 13.00  0.20  198.70  0.53   30.0 28.32  0.3400 4.660  0.7800 0     0     
NGC4085        12h05m22.7s +50d21m11s   0.002487 12.95 SAB(s)c?            12.88  0.14  169.10  0.28   78.0 31.37  0.2900 18.96  2.440  0     0     
NGC4088        12h05m34.2s +50d32m21s   0.002524 11.15 SAB(rs)bc           11.11  0.14  345.30  0.39   43.0 31.04  0.2600 16.24  2.050  0     0     
UGC07089       12h05m57.7s +43d08m36s   0.002568 14.00 Sdm?                14.40  0.30  194.20  0.20   36.0 30.68  0.3300 13.87  2.120  0     0     
NGC4096        12h06m01.1s +47d28m42s   0.001888 12.30 SAB(rs)c            11.59  0.14  396.40  0.27   20.0 30.60  0.4000 13.37  2.300  0     1     
NGC4100        12h06m08.5s +49d34m58s   0.003584 11.89 (R')SA(rs)bc        11.64  0.14  322.20  0.33   167. 31.64  0.3100 21.45  2.890  0     0     
NGC4102        12h06m23.0s +52d42m40s   0.002823 12.30 SAB(s)b?            11.92  0.15  181.20  0.57   38.0 31.57  0.4300 21.03  4.450  0     0     
NGC4111        12h07m03.1s +43d03m57s   0.002692 11.63 SA0^+(r)?/edge-on   11.56  0.12  274.30  0.21   150. 31.01  0.1900 16.00  1.410  0     0     
UGC07125       12h08m42.3s +36d48m10s   0.003572 14.10 Sm                  14.20  0.30  280.60  0.16   85.0 32.18  0.6700 28.00  8.490  0     0     
NGC4138        12h09m29.8s +43d41m07s   0.002962 12.16 SA0^+(r)            12.08  0.12  154.20  0.66   150. 30.95  0.2300 15.57  1.630  0     0     
NGC4143        12h09m36.1s +42d32m03s   0.003196 11.90 SAB0^0(s)           12.03  0.13  137.50  0.63   144. 31.00  0.1500 15.90  1.100  0     0     
NGC4144        12h09m58.6s +46d27m26s   0.000884 12.05 SAB(s)cd?/edge-on   12.10  0.14  361.50  0.22   104. 29.05  0.5300 6.640  1.560  0     0     
NGC4151        12h10m32.6s +39d24m21s   0.003319 11.50 (R')SAB(rs)ab?      10.90  0.15  378.60  0.71   50.0 29.75  2.540  12.09  11.60  0     0     
NGC4183        12h13m16.9s +43d41m55s   0.003102 12.90 SA(s)cd?/edge-on    12.85  0.15  314.90  0.15   166. 31.10  0.2000 16.68  1.420  0     0     
NGC4203        12h15m05.1s +33d11m50s   0.003623 11.80 SAB0^-?             11.55  0.13  203.30  0.93   10.0 30.44  0.4900 12.43  2.700  0     0     
NGC4214        12h15m39.2s +36d19m37s   0.000970 10.24 IAB(s)m             10.20  0.16  510.70  0.78   128  27.59  0.5100 3.400  1.010  0     0     
NGC4220        12h16m11.7s +47d53m00s   0.003049 12.20 SA0^+(r)            12.20  0.12  233.40  0.35   141. 31.26  0.1600 17.90  1.270  0     0     
