Galaxy         r_bar       
NGC0024        0		   
NGC0059        0           
NGC0625        0           
UGC05829       0           
NGC3344        0.57        
NGC3486        0.34        
UGC06112       0           
NGC3501        0           
NGC3507        0.42        
UGC06161       0           
UGC06399       0           
NGC3675        0           
NGC3718        1.45        
NGC3726        0.55        
NGC3729        0.45        
NGC3769        0.3         
UGC06628       0           
NGC3893        0.35        
UGC06792       0           
NGC3917        0           
NGC3922        0           
NGC3938        0           
NGC3941        0.42        
NGC3949        0           
NGC3953        0.53        
UGC06900       0           
NGC3972        0           
UGC06917       0.4         
UGC06930       0.47        
MESSIER109     1.0         
NGC3998        0           
UGC06955       0.41        
NGC4013        0           
IC0749         0           
NGC4010        0           
IC0750         0           
UGC06983       0.52        
NGC4026        0           
NGC4051        1.05        
NGC4068        0           
NGC4085        0           
NGC4088        0.65        
UGC07089       0           
NGC4096        0.48        
NGC4100        0.92        
NGC4102        0.5         
NGC4111        0           
UGC07125       0           
NGC4138        0           
NGC4143        0           
NGC4144        0           
NGC4151        2.2         
NGC4183        0           
NGC4203        0           
NGC4214        0           
NGC4220        0           
UGC07301       0           
NGC4242        0.27        
UGC07408       0           
NGC4369        0           
NGC4389        0.83        
UGC07577       0           
UGC07608       0           
NGC4460        0           
UGC07639       0           
NGC4485        0           
NGC4490        0           
UGC07699       0.67        
UGC07774       0           
NGC4618        0.62        
IC3687         0           
NGC4707        0           
NGC4861        0           
IC4182         0           
NGC5005        0.98        
IC4213         0           
NGC5023        0           
UGC08303       0           
NGC5033        0           
UGC08320       0           
MESSIER063     0           
NGC5229        0           
NGC5273        0           
UGC08839       0           
NGC5523        0           
NGC5608        0           
ESO290-G028    0           
NGC7713        0           
UGCA442        0           
ESO348-G009    0           
ESO149-G003    0           
NGC7793        0           
