From Extragalactic Distance Database
Galaxy		  u         u_err     source
NGC0024       29.420    0.0900        TH
NGC0059       28.450     0.100         T
NGC0625       27.730    0.0900        TH
UGC05829      28.952     0.161       GRP
NGC3344       29.960     0.100         T
NGC3486       30.680     0.360       CF1
UGC06112      28.399     0.125       GRP
NGC3507       28.399     0.125       GRP
NGC3501       31.900     0.200         H
UGC06161      30.340     0.200         H
UGC06399      31.630     0.200         H
NGC3675       31.460     0.200         H
NGC3718       28.835     0.102       GRP
NGC3726       30.630     0.200         H
NGC3729       31.620     0.350       CF1
NGC3769       31.060     0.360       CF1
UGC06628      28.835     0.102       GRP
NGC3893       31.300     0.350       CF1
UGC06792      31.590     0.200         H
NGC3917       31.140     0.200         H
NGC3922       31.15      0.40       TF88
NGC3938       28.835     0.102       GRP
NGC3941       30.470     0.140         S
NGC3949       31.410     0.200         H
NGC3953       31.420     0.200         H
UGC06900      28.84      0.80       TF88
NGC3972       31.550     0.200         H
UGC06917      31.390     0.200         H
UGC06930      28.835     0.102       GRP
MESSIER109    32.140     0.200         H
NGC3998       30.760     0.140         S
UGC06955      31.370     0.200         H
NGC4013       31.650     0.200         H
IC0749        28.835     0.102       GRP
NGC4010       31.400     0.200         H
IC0750        31.850     0.360       CF1
UGC06983      31.640     0.350       CF1
NGC4026       30.830     0.120        SH
NGC4051       30.210     0.200         H
NGC4068       28.210     0.100         T
NGC4085       31.590     0.200         H
NGC4088       30.800     0.200         H
UGC07089      30.340     0.200         H
NGC4096       30.460     0.200         H
NGC4100       31.540     0.200         H
NGC4102       31.590     0.200         H
NGC4111       29.900     0.120        SH
UGC07125      32.660     0.400       CF1
NGC4138       31.020     0.120        SH
NGC4143       31.000     0.140         S
NGC4144       29.170    0.0900        TH
NGC4151       27.950     0.360       CF1
NGC4183       31.080     0.200         H
NGC4203       30.920     0.140         S
NGC4214       27.340    0.0800        TL
NGC4220       31.540     0.200         H
UGC07301      32.020     0.200         H
NGC4242       28.680     0.200         H
UGC07408      29.310     0.100         T
NGC4369       29.754     0.213       GRP
NGC4389       29.870     0.200         H
UGC07577      27.070    0.0800       T L
UGC07608      30.181     0.135       GRP
NGC4460       29.820     0.140         S
UGC07639      30.181     0.135       GRP
NGC4485       29.750     0.100         T
NGC4490       30.181     0.135       GRP
UGC07699      31.320     0.380       CF1
UGC07774      32.180     0.200         H
NGC4618       30.181     0.135       GRP
IC3687        28.300     0.100         T
NGC4707       29.070     0.100         T
NGC4861       29.40	    0.40        TF09
IC4182        28.220    0.0600       CTL
NGC5005       31.270    0.0800        NH
IC4213        31.420     0.200         H
NGC5023       29.130    0.0900        TH
UGC08303      28.664     0.129       GRP
NGC5033       31.400     0.200         H
UGC08320      28.140     0.100         T
MESSIER063    29.780    0.0900        TH
NGC5229       30.520     0.155       GRP
NGC5273       31.100     0.140         S
UGC08839      31.73	     0.40       TF88
NGC5523       31.610     0.200         H
NGC5608       31.240     0.400       CF1
ESO290-G02    27.080     0.380       CF1
NGC7713       29.860     0.200         H
UGCA442       28.200     0.100         T
ESO348-G00    30.011     0.452       GRP
ESO149-G00    29.230     0.100         T
NGC7793       27.770    0.0700       CTH
