From LEDA
EDGES_name			LEDA_name	   T	    T_err
NGC0024             NGC0024        5.1      0.4
NGC0059             NGC0059        -2.9     0.7
NGC0625             NGC0625        9        1.4
UGC05829            UGC05829       9.8      0.6
NGC3344             NGC3344        4        0.3
NGC3486             NGC3486        5.2      0.7
UGC06112            UGC06112       7.4      0.8
NGC3501             NGC3501        5.8      0.5
NGC3507             NGC3507        3.1      0.4
UGC06161            UGC06161       7.9      0.9
UGC06399            UGC06399       8.8        1
NGC3675             NGC3675        3        0.5
NGC3718             NGC3718        1.1      0.6
NGC3726             NGC3726        5.1      0.6
NGC3729             NGC3729        1.2      0.7
NGC3769             NGC3769        3.4      0.9
UGC06628            UGC06628       8.8        1
NGC3893             NGC3893        5.2      0.8
UGC06792            UGC06792       5.9      0.5
NGC3917             NGC3917        5.9      0.5
NGC3922             NGC3922        -0.1     0.4
NGC3938             NGC3938        5.2      0.5
NGC3941             NGC3941        -2       0.4
NGC3949             NGC3949        4        0.1
NGC3953             NGC3953        4        0.2
UGC06900            UGC06900       9.7      0.7
NGC3972             NGC3972        4        0.3
UGC06917            UGC06917       8.8        1
UGC06930            UGC06930       6.6      0.8
MESSIER109          NGC3992        4        0.2
NGC3998             NGC3998        -2.1     0.5
UGC06955            UGC06955       9.8      0.6
NGC4013             NGC4013        3.1      0.5
IC0749              IC0749         5.9      0.5
NGC4010             NGC4010        6.8      0.9
IC0750              IC0750         2.2      0.7
UGC06983            UGC06983       5.9      0.5
NGC4026             NGC4026        -1.8     0.9
NGC4051             NGC4051        4        0.1
NGC4068             NGC4068        9.9      0.3
NGC4085             NGC4085        5.2      0.5
NGC4088             NGC4088        4.7      0.9
UGC07089            UGC07089       7.9      0.8
NGC4096             NGC4096        5.3      0.6
NGC4100             NGC4100        4.1      0.6
NGC4102             NGC4102        3.1      0.5
NGC4111             NGC4111        -1.3       1
UGC07125            UGC07125       8.8      0.7
NGC4138             NGC4138        -0.8     1.1
NGC4143             NGC4143        -2       0.6
NGC4144             NGC4144        5.9      0.5
NGC4151             NGC4151        2        0.5
NGC4183             NGC4183        5.8      0.5
NGC4203             NGC4203        -2.7     0.7
NGC4214             NGC4214        9.8      0.5
NGC4220             NGC4220        -0.3     0.9
UGC07301            UGC07301       6.5      0.9
NGC4242             NGC4242        7.9      0.5
UGC07408            UGC07408       9.8        1
NGC4369             NGC4369        1        0.9
NGC4389             NGC4389        4.1      0.5
UGC07577            UGC07577       9.8      0.9
UGC07608            UGC07608       9.9      0.5
NGC4460             NGC4460        -0.9     1.5
UGC07639            UGC07639       9.9      0.4
NGC4485             NGC4485        9.7        1
NGC4490             NGC4490        7        0.2
UGC07699            UGC07699       6.1      0.6
UGC07774            UGC07774       6.3      0.8
NGC4618             NGC4618        8.7        1
IC3687              IC3687         9.9      0.3
NGC4707             NGC4707        8.8      0.5
NGC4861             PGC044532      8.9      0.6
IC4182              IC4182         8.8      0.5
NGC5005             NGC5005        4        0.2
IC4213              IC4213         5.8      0.5
NGC5023             NGC5023        5.9      0.4
UGC08303            UGC08303       9.9      0.3
NGC5033             NGC5033        5.1      0.8
UGC08320            UGC08320       9.9      0.4
MESSIER063          NGC5055        4        0.2
NGC5229             NGC5229        6.7      0.7
NGC5273             NGC5273        -1.9     0.4
UGC08839            UGC08839       9.9      0.5
NGC5523             NGC5523        5.8      0.5
NGC5608             NGC5608        9.8        1
ESO290-G028         NGC7412A       8        0.5
NGC7713             NGC7713        6.7      0.8
UGCA442             ESO471-006     8.6        1
ESO348-G009         ESO348-009     10       0.4
ESO149-G003         ESO149-003     9.7      0.8
NGC7793             NGC7793        7.4      0.6
